City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,jinghong,21.991,100.7341,22.51,69,1,0.44,CN,1682555157
84,mersa matruh,31.3525,27.2453,19.74,52,0,2.78,EG,1682555157
85,constantia,44.1833,28.65,8.38,81,100,8.37,RO,1682555158
86,phan thiet,10.9333,108.1,27.74,69,65,2.94,VN,1682555158
87,alice springs,-23.7,133.8833,27.75,32,92,4.63,AU,1682555048
88,christchurch,-43.5333,172.6333,17.17,64,0,1.34,NZ,1682554935
89,aweil,8.7682,27.4002,27.94,52,85,2.16,SS,1682555159
90,gournay-en-bray,49.4828,1.7247,10.33,80,100,3.06,FR,1682555159
91,badger,64.8,-147.5333,5.0,48,75,3.09,US,1682555159
92,touros,-5.1989,-35.4608,26.71,79,96,4.87,BR,1682555159
93,toccoa,34.5773,-83.3324,13.8,94,100,2.06,US,1682555160
94,novodvinsk,64.4165,40.8122,2.86,97,70,1.95,RU,1682555160
95,hasaki,35.7333,140.8333,17.38,51,34,6.85,JP,1682555161
96,ugoofaaru,5.6667,73.0,28.84,75,55,3.08,MV,1682555161
97,nova vicosa,-17.8919,-39.3719,24.47,85,4,2.32,BR,1682555161
98,banda aceh,5.5577,95.3222,26.89,78,92,3.14,ID,1682555161
99,sovetskiy,61.3614,63.5842,7.82,96,100,1.34,RU,1682555162
100,khash,28.2211,61.2158,16.85,39,9,0.6,IR,1682555162
101,ghat,24.9647,10.1728,25.59,24,65,0.69,LY,1682555162
102,kuala belait,4.5833,114.1833,27.09,88,100,1.47,BN,1682555162
103,i-n-salah,27.1935,2.4607,28.0,9,0,6.79,DZ,1682555163
104,papatowai,-46.5619,169.4708,13.68,80,81,4.53,NZ,1682555163
105,polyarnyy,69.1989,33.4478,-0.39,74,100,4.57,RU,1682555163
106,georgetown,5.4112,100.3354,27.96,89,20,1.03,MY,1682555061
107,zhangjiajie,29.1294,110.4783,15.88,92,100,1.26,CN,1682555164
108,tiksi,71.6872,128.8694,-9.29,84,62,0.48,RU,1682555164
109,ilulissat,69.2167,-51.1,-0.99,100,100,1.54,GL,1682555164
